# T(degC),f_1e2(MPa),f_1e3(MPa),f_1e4(MPa),S_m(MPa)
4.541836734693878270e+02,2.039519204200055356e+02,2.039519204200055356e+02,2.039519204200055356e+02,1.950000000000000000e+02
4.715510204081633105e+02,2.025410334346504442e+02,2.025410334346504442e+02,2.025410334346504442e+02,1.950000000000000000e+02
4.889183673469387941e+02,2.011301464492953812e+02,2.011301464492953812e+02,2.011301464492953812e+02,1.950000000000000000e+02
5.062857142857143344e+02,1.997192594639402898e+02,1.997192594639402898e+02,1.997192594639402898e+02,1.950000000000000000e+02
5.236530612244898748e+02,1.982755299411834073e+02,1.982755299411834073e+02,1.982755299411834073e+02,1.950000000000000000e+02
5.410204081632653015e+02,1.959455782312925294e+02,1.959455782312925294e+02,1.959455782312925294e+02,1.950000000000000000e+02
5.583877551020408418e+02,1.956326530612244881e+02,1.956326530612244881e+02,1.934681508967223635e+02,1.909738775510203936e+02
5.757551020408163822e+02,1.948104956268221599e+02,1.948104956268221599e+02,1.810478664192950191e+02,1.820938775510203413e+02
5.931224489795919226e+02,1.937376093294460588e+02,1.937376093294460588e+02,1.686275819418676463e+02,1.612530612244896986e+02
6.104897959183674629e+02,1.926647230320699578e+02,1.926647230320699578e+02,1.562072974644403018e+02,1.425102040816325371e+02
6.278571428571428896e+02,1.915918367346938851e+02,1.830164502164502665e+02,1.437870129870130143e+02,1.255999999999999659e+02
6.452244897959184300e+02,1.905189504373177840e+02,1.684910327767470619e+02,1.313667285095856414e+02,1.110114285714285245e+02
6.625918367346939704e+02,1.858075801749270966e+02,1.539656153370438858e+02,1.189464440321582828e+02,9.828644897959176774e+01
6.799591836734693970e+02,1.800855199222546048e+02,1.394401978973407950e+02,1.065261595547310094e+02,8.672448979591835894e+01
6.973265306122449374e+02,1.743634596695821131e+02,1.249147804576376046e+02,9.410587507730365076e+01,7.630408163265303756e+01
7.146938775510204778e+02,1.477249757045675267e+02,1.124586977648202009e+02,8.385908649173953222e+01,6.717673469387752050e+01
7.320612244897960181e+02,1.342859572400388117e+02,1.012939747327501863e+02,7.496865889212824641e+01,5.876481632653056408e+01
7.494285714285715585e+02,1.208469387755100826e+02,9.012925170068017167e+01,6.607823129251694638e+01,5.105371428571422143e+01
7.667959183673469852e+02,1.087832847424683678e+02,8.017808551992219179e+01,5.799684159378036696e+01,4.428318367346936668e+01
7.841632653061225255e+02,9.885908649173948959e+01,7.211467444120499692e+01,5.117395529640425167e+01,3.798448979591834274e+01
8.015306122448980659e+02,8.893488824101058299e+01,6.405126336248778784e+01,4.435106899902814348e+01,3.214693877551017209e+01
8.188979591836734926e+02,7.943722943722939078e+01,5.631465677179961205e+01,3.799925788497217383e+01,2.700620408163264585e+01
8.362653061224490330e+02,7.206926406926400830e+01,5.020977118119972715e+01,3.399950525664809931e+01,2.236114285714284478e+01
8.536326530612245733e+02,6.470129870129864003e+01,4.410488559059984937e+01,2.999975262832403544e+01,1.815893877551018676e+01
8.710000000000000000e+02,5.733333333333332149e+01,3.800000000000000711e+01,2.599999999999999645e+01,1.461599999999999966e+01
